date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-05-13,100,97,96,76,100,64,87,93,90,90,96,72,95,88,74
2020-05-14,85,94,95,68,83,64,84,100,88,89,97,66,92,91,94
2020-05-15,80,94,88,61,89,54,89,78,93,80,84,71,93,87,64
2020-05-16,74,80,72,52,54,48,92,63,100,57,16,56,43,64,61
2020-05-17,58,71,74,81,49,50,94,57,91,49,8,53,38,60,53
2020-05-18,80,91,97,94,76,63,87,77,93,86,95,58,97,81,88
2020-05-19,78,96,100,81,86,43,85,85,84,94,100,66,96,83,100
2020-05-20,75,89,98,74,93,56,91,89,87,100,90,68,96,83,55
2020-05-21,78,87,95,69,82,100,85,82,86,85,91,87,91,83,61
2020-05-22,70,89,91,60,58,45,87,73,91,85,79,89,87,79,68
2020-05-23,53,66,74,45,60,50,96,52,92,52,16,75,44,53,56
2020-05-24,52,62,69,73,44,38,95,47,93,51,7,81,34,55,52
2020-05-25,57,68,82,69,59,47,92,53,93,50,13,88,40,62,50
2020-05-26,64,85,95,91,66,46,84,57,83,79,90,100,96,82,75
2020-05-27,71,88,99,80,71,54,88,72,85,98,96,91,96,80,88
2020-05-28,65,92,100,68,73,45,85,69,86,86,91,98,92,88,82
2020-05-29,69,84,90,58,71,41,88,62,80,71,86,88,88,72,77
2020-05-30,57,65,70,42,49,41,84,47,87,53,16,77,41,54,76
2020-05-31,52,60,66,70,51,38,87,56,81,47,8,79,32,54,51
