Index,claims.sa,claims.nsa,Jobs,Welfare...Unemployment
2004/08/28,352000,276308,-9.06809131457319,-14.0656594070084
2004/09/04,326000,274930,-11.7659553357323,-16.7998074711199
2004/09/11,331000,250568,-10.3209622140706,-19.9625269856487
2004/09/18,341000,275846,-11.8759691346193,-13.2681036050655
2004/09/25,351000,282729,-12.4102814750447,-13.5730202985214
2004/10/02,335000,279591,-12.5160224074332,-12.5922227143814
2004/10/09,338000,338711,-9.4789061962928,-13.0399965556723
2004/10/16,327000,279846,-11.4417899832543,-19.6306275363845
2004/10/23,338000,317573,-10.5739766332263,-16.9511533118738
2004/10/30,332000,305546,-10.7061632699969,-17.9859647731661
2004/11/06,330000,351404,-13.5526356257149,-16.4493476950165
2004/11/13,337000,311901,-16.1133937102677,-25.3413020248471
2004/11/20,313000,355954,-11.5207540104002,-20.3592359941751
2004/11/27,335000,320690,-17.9281143422896,-27.8057414348555
2004/12/04,343000,473570,-7.04976039700798,-14.9665325998096
2004/12/11,316000,370604,-14.3142635784845,-29.5558950782382
2004/12/18,322000,374749,-14.5893669885249,-23.024862821398
2004/12/25,320000,446699,-16.8644704235232,-25.4938306079863
2005/01/01,356000,540927,-4.568145238626,-15.3913698718477
2005/01/08,369000,693776,0.06686228044856,-18.5741524919744
2005/01/15,332000,467862,-9.55877323692429,-32.2378856703186
2005/01/22,329000,360583,-13.1844087085386,-26.4016189094181
2005/01/29,331000,364704,-12.9350441836163,-25.8153521234654
2005/02/05,307000,347391,-16.3106795812006,-17.1040853930686
2005/02/12,308000,309290,-14.8125365383849,-21.4090962809352
2005/02/19,318000,303814,-11.5643933661142,-19.0891071286019
2005/02/26,314000,290776,-11.0662502823986,-24.2691180565821
2005/03/05,333000,332067,-15.4431071554838,-18.1991289378494
2005/03/12,324000,307061,-15.9409985807231,-24.0091931721575
2005/03/19,329000,290719,-14.9388901164671,-20.4442573885625
2005/03/26,342000,291378,-14.9367816718679,-22.2543216766108
2005/04/02,335000,294994,-15.434673128464,-19.314385833469
2005/04/09,323000,339709,-17.5550512139116,-31.8994882182636
2005/04/16,307000,285657,-10.5504292452533,-19.2345905820009
2005/04/23,317000,299891,-15.6708073739558,-25.9446929798771
2005/04/30,334000,290824,-14.7911854594034,-16.4047953596459
2005/05/07,327000,297347,-16.4105190478331,-18.9566665257633
2005/05/14,321000,275524,-13.6548526316709,-17.8835376760474
2005/05/21,320000,276761,-10.3991862155337,-17.6854088276519
2005/05/28,340000,304306,-14.8935197732327,-20.1122799850258
2005/06/04,338000,289914,-15.8842784882071,-19.4533115099683
2005/06/11,333000,315938,-12.62503721358,-20.7943430702832
2005/06/18,321000,289831,-13.7407958760473,-18.1353745651827
2005/06/25,311000,286681,-14.9815545774254,-19.226406146431
2005/07/02,327000,327268,-14.978705945938,-22.0223817355114
2005/07/09,338000,427323,-15.3508572795058,-25.9433572800666
2005/07/16,323000,374665,-14.5980087071746,-25.8643328667362
2005/07/23,318000,295026,-14.5083784754166,-28.3496830654216
2005/07/30,316000,261906,-16.9024121218486,-33.5237114325052
2005/08/06,311000,269746,-15.2964457441442,-21.1263115136646
2005/08/13,319000,257151,-14.833336522292,-21.5860543023725
2005/08/20,315000,252016,-15.6559415557124,-19.4743684666804
2005/08/27,318000,251642,-16.0680913145732,-18.0656594070084
2005/09/03,326000,271613,-17.7659553357323,-19.7998074711199
2005/09/10,422000,322387,-16.3209622140706,-12.9625269856487
2005/09/17,424000,346204,-12.8759691346193,-13.2681036050655
